,Rank_x,Country,Gold,Silver,Bronze,Total,population,gdp_per_capita_usd,temperature,Sport,Sport_Gold,Sport_Silver,Sport_Bronze,Sport_Total
0,1,Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Alpine Skiing,0,1,1,2
1,1,Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Biathlon,3,5,3,11
2,1,Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Cross-Country Skiing,7,2,5,14
3,1,Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Freestyle Skiing,2,0,0,2
4,1,Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Nordic Combined,3,0,0,3
5,1,Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Ski Jumping,2,2,1,5
6,1,Norway,18,12,11,41,5640194,87497.2179649556,4.1832,Speed Skating,1,2,1,4
7,2,United States of America,12,12,9,33,345410175,81032.262117545,12.224,Alpine Skiing,2,1,1,4
8,2,United States of America,12,12,9,33,345410175,81032.262117545,12.224,Bobsleigh,1,0,2,3
9,2,United States of America,12,12,9,33,345410175,81032.262117545,12.224,Cross-Country Skiing,0,2,1,3
10,2,United States of America,12,12,9,33,345410175,81032.262117545,12.224,Curling,0,1,0,1
11,2,United States of America,12,12,9,33,345410175,81032.262117545,12.224,Figure Skating,2,1,0,3
12,2,United States of America,12,12,9,33,345410175,81032.262117545,12.224,Freestyle Skiing,3,4,1,8
13,2,United States of America,12,12,9,33,345410175,81032.262117545,12.224,Ice Hockey,2,0,0,2
14,2,United States of America,12,12,9,33,345410175,81032.262117545,12.224,Luge,0,0,1,1
15,2,United States of America,12,12,9,33,345410175,81032.262117545,12.224,Short Track Speed Skating,0,0,1,1
16,2,United States of America,12,12,9,33,345410175,81032.262117545,12.224,Snowboard,0,1,1,2
17,2,United States of America,12,12,9,33,345410175,81032.262117545,12.224,Speed Skating,2,2,1,5
18,3,Netherlands,10,7,3,20,18290019,63515.6030780019,11.175999999999998,Short Track Speed Skating,5,1,1,7
19,3,Netherlands,10,7,3,20,18290019,63515.6030780019,11.175999999999998,Speed Skating,5,6,2,13
20,4,Italy,10,6,14,30,58941446,39277.0838783918,13.134,Alpine Skiing,2,1,2,5
21,4,Italy,10,6,14,30,58941446,39277.0838783918,13.134,Biathlon,1,1,0,2
22,4,Italy,10,6,14,30,58941446,39277.0838783918,13.134,Cross-Country Skiing,0,0,2,2
23,4,Italy,10,6,14,30,58941446,39277.0838783918,13.134,Curling,0,0,1,1
24,4,Italy,10,6,14,30,58941446,39277.0838783918,13.134,Figure Skating,0,0,1,1
25,4,Italy,10,6,14,30,58941446,39277.0838783918,13.134,Freestyle Skiing,1,1,1,3
26,4,Italy,10,6,14,30,58941446,39277.0838783918,13.134,Luge,2,0,2,4
27,4,Italy,10,6,14,30,58941446,39277.0838783918,13.134,Short Track Speed Skating,1,2,1,4
28,4,Italy,10,6,14,30,58941446,39277.0838783918,13.134,Snowboard,0,1,2,3
29,4,Italy,10,6,14,30,58941446,39277.0838783918,13.134,Speed Skating,3,0,2,5
