Rank,Country,Gold,Silver,Bronze,Total
1,Norway,18,12,11,41
2,United States of America,12,12,9,33
3,Netherlands,10,7,3,20
4,Italy,10,6,14,30
5,Germany,8,10,8,26
6,France,8,9,6,23
7,Sweden,8,6,4,18
8,Switzerland,6,9,8,23
9,Austria,5,8,5,18
10,Japan,5,7,12,24
11,Canada,5,7,9,21
12,People's Republic of China,5,4,6,15
13,Republic of Korea,3,4,3,10
14,Australia,3,2,1,6
15,Great Britain,3,1,1,5
16,Czechia,2,2,1,5
17,Slovenia,2,1,1,4
18,Spain,1,0,2,3
19,Brazil,1,0,0,1
19,Kazakhstan,1,0,0,1
21,Poland,0,3,1,4
22,New Zealand,0,2,1,3
23,Finland,0,1,5,6
24,Latvia,0,1,1,2
25,Denmark,0,1,0,1
25,Estonia,0,1,0,1
25,Georgia,0,1,0,1
28,Bulgaria,0,0,2,2
29,Belgium,0,0,1,1
