country,population
India,1417492000
China,1404890000
United States,341784857
Indonesia,288315089
Pakistan,241499431
Nigeria,223800000
Brazil,213421037
Bangladesh,169828911
Russia,146028325
Mexico,131001723
Japan,122850000
Philippines,114123600
DR Congo,112832000
Ethiopia,111652998
Egypt,107868296
Vietnam,102300000
Iran,86563000
Turkey,86092168
Germany,83497147
United Kingdom,69487000
France,69081996
Tanzania,68153004
Thailand,65826149
South Africa,63100945
Italy,58956726
Kenya,53330978
Colombia,53057212
Sudan,51662000
Myanmar,51375327
South Korea,51111158
Spain,49570725
Algeria,47400000
Argentina,46387098
Iraq,46118793
Uganda,45905417
Afghanistan,43844000
Canada,41472081
Uzbekistan,38236704
Poland,37332000
Morocco,36828330
Angola,36604681
Saudi Arabia,35300280
Peru,34350244
Malaysia,34334400
Mozambique,34090466
Ghana,33742380
Yemen,32684503
Madagascar,31727042
Ivory Coast,31719275
Nepal,29911840
Cameroon,29442327
Ukraine,28700000
Venezuela,28517000
Australia,27724744
Niger,27522750
North Korea,25950000
Syria,25620427
Burkina Faso,24070553
Taiwan,23280273
Mali,22395489
Sri Lanka,21781800
Malawi,20734262
Kazakhstan,20518005
Chile,20206953
Zambia,19693423
Somalia,19655000
Chad,19340757
Romania,19036031
Senegal,18593258
Netherlands,18131264
Ecuador,18103660
Guatemala,18079810
Cambodia,17577760
Zimbabwe,17073087
South Sudan,15786898
Guinea,17521167
Rwanda,14104969
Benin,13224860
Burundi,12332788
Tunisia,11972169
Jordan,11937000
Belgium,11928465
Haiti,11867032
Bolivia,11365333
United Arab Emirates,11294243
Czechia,10897178
Dominican Republic,10771504
Portugal,10749635
Sweden,10604464
Tajikistan,10499000
Greece,10372335
Azerbaijan,10259701
Israel,10196700
Papua New Guinea,10185363
Honduras,9892632
Cuba,9748007
Hungary,9489000
Austria,9219113
Belarus,9109280
Switzerland,9104063
Sierra Leone,9077691
Togo,8095498
Laos,7647000
Hong Kong(China),7510800
Libya,7459000
Kyrgyzstan,7281800
Turkmenistan,7057841
Nicaragua,6874748
Serbia,6567783
Central African Republic,6470307
Bulgaria,6437360
Congo,6142180
Singapore,6110200
Paraguay,6109644
El Salvador,6029976
Denmark,6028459
Finland,5657608
Norway,5627400
Lebanon,5490000
Palestine,5483450
Ireland,5458600
Slovakia,5413191
Oman,5359557
New Zealand,5342000
Liberia,5248621
Costa Rica,5191824
Mauritania,4927532
Kuwait,4881254
Panama,4064780
Croatia,3866233
Georgia,3704500
Eritrea,3607000
Mongolia,3544835
Uruguay,3485931
Bosnia and Herzegovina,3412000
Qatar,3214609
Puerto Rico(US),3184195
Armenia,3076200
Namibia,3022401
Lithuania,2885752
Jamaica,2774538
Gabon,2469296
Gambia,2422712
Moldova,2381300
Albania,2363314
Botswana,2359609
Slovenia,2133852
Lesotho,2116427
Guinea-Bissau,1852784
Latvia,1823500
North Macedonia,1822612
Equatorial Guinea,1668768
Bahrain,1594654
Kosovo,1585566
Timor-Leste,1391221
Trinidad and Tobago,1367764
Estonia,1362954
Mauritius,1241856
Eswatini,1235549
Djibouti,1066809
Cyprus,983000
Guyana,956044
Comoros,944388
Fiji,902623
Bhutan,784043
Solomon Islands,750325
Macau(China),688900
Luxembourg,681973
Montenegro,623327
Suriname,616500
Western Sahara(disputed),600904
Malta,574250
Maldives,515132
Cape Verde,491233
Northern Cyprus,476214
Brunei,455500
Belize,417634
Bahamas,398165
Iceland,394530
Transnistria,367776
Vanuatu,321409
French Polynesia(France),279500
Barbados,267800
New Caledonia(France),264596
Abkhazia,244236
São Tomé and Príncipe,209607
Samoa,205557
Saint Lucia,184100
Curaçao(Netherlands),156115
Guam(US),153836
Seychelles,122729
Kiribati,120740
Saint Vincent and the Grenadines,110872
Aruba(Netherlands),109435
Grenada,109021
Micronesia,75817
Antigua and Barbuda,103603
Jersey(UK),103267
Tonga,100179
Andorra,89165
Cayman Islands(UK),88833
U.S. Virgin Islands(US),87146
Isle of Man(UK),84975
Dominica,71946
Guernsey(UK),64781
Bermuda(UK),64055
Greenland(Denmark),56740
South Ossetia,56520
Faroe Islands(Denmark),55064
Saint Kitts and Nevis,51320
Turks and Caicos Islands(UK),50828
American Samoa(US),49710
Northern Mariana Islands(US),47329
Marshall Islands,42418
Sint Maarten(Netherlands),41349
Liechtenstein,41024
British Virgin Islands(UK),39471
Monaco,38423
Gibraltar(UK),38196
San Marino,34172
Saint Martin(France),31496
Palau,16733
Anguilla(UK),16010
Cook Islands(New Zealand),15040
Nauru,11680
Wallis and Futuna(France),11620
Tuvalu,10643
Saint Barthélemy(France),10562
Saint Pierre and Miquelon(France),5819
"Saint Helena, Ascension and Tristan da Cunha(UK)",5651
Montserrat(UK),4386
Falkland Islands(UK),3662
Tokelau(New Zealand),2608
Norfolk Island(Australia),2188
Christmas Island(Australia),1692
Niue(New Zealand),1681
Vatican City,882
Cocos (Keeling) Islands(Australia),593
Pitcairn Islands(UK),35
